feature,coefficient
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_3,0.05392695528383763
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_5,-0.028466323486888392
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_7,-0.04026304282111465
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_9_9,-0.054024434540794336
Cytoplasm_RadialDistribution_ZernikePhase_GFP_1_1,-0.04461275302163474
Cytoplasm_RadialDistribution_ZernikePhase_GFP_3_1,0.02243550842553635
Cytoplasm_RadialDistribution_ZernikePhase_GFP_4_2,0.01884033521353085
Cytoplasm_RadialDistribution_ZernikePhase_GFP_5_1,0.011640158507691182
Cytoplasm_RadialDistribution_ZernikePhase_GFP_5_3,-0.051015750475250386
Cytoplasm_RadialDistribution_ZernikePhase_GFP_6_2,-0.058229504500155155
Cytoplasm_RadialDistribution_ZernikePhase_GFP_6_4,0.03825341251020393
Cytoplasm_RadialDistribution_ZernikePhase_GFP_7_1,0.055550255809578133
Cytoplasm_RadialDistribution_ZernikePhase_GFP_7_3,0.054901707010030484
Cytoplasm_RadialDistribution_ZernikePhase_GFP_7_5,-0.053973721413330254
Cytoplasm_RadialDistribution_ZernikePhase_GFP_8_2,-0.001956098184691761
Cytoplasm_RadialDistribution_ZernikePhase_GFP_8_4,0.004096070058011643
Cytoplasm_RadialDistribution_ZernikePhase_GFP_9_1,-0.05991888084181562
Cytoplasm_RadialDistribution_ZernikePhase_GFP_9_3,0.048111493147040996
Cytoplasm_RadialDistribution_ZernikePhase_GFP_9_5,-0.02745702791375983
Cytoplasm_RadialDistribution_ZernikePhase_RFP_1_1,0.007154415901716007
Cytoplasm_RadialDistribution_ZernikePhase_RFP_3_1,0.0031099011263691864
Cytoplasm_RadialDistribution_ZernikePhase_RFP_4_2,0.026845196425452106
Cytoplasm_RadialDistribution_ZernikePhase_RFP_5_1,0.032338536368209256
Cytoplasm_RadialDistribution_ZernikePhase_RFP_5_3,-0.04309445835586678
Cytoplasm_RadialDistribution_ZernikePhase_RFP_6_2,0.019582158661386673
Cytoplasm_RadialDistribution_ZernikePhase_RFP_6_4,0.014648946488900246
Cytoplasm_RadialDistribution_ZernikePhase_RFP_7_1,0.009015007098425518
Cytoplasm_RadialDistribution_ZernikePhase_RFP_7_3,-0.019599777513872353
Cytoplasm_RadialDistribution_ZernikePhase_RFP_8_2,-0.03603472427044843
Cytoplasm_RadialDistribution_ZernikePhase_RFP_8_4,0.044471151789870655
Cytoplasm_RadialDistribution_ZernikePhase_RFP_9_1,0.01903941855906905
Cytoplasm_RadialDistribution_ZernikePhase_RFP_9_3,-0.052042463628977284
Cytoplasm_RadialDistribution_ZernikePhase_RFP_9_5,0.04139560005924194
Cytoplasm_Texture_Contrast_DAPI_3_01_256,-0.23069238086999266
Cytoplasm_Texture_Contrast_DAPI_3_03_256,-0.17643821124934075
Cytoplasm_Texture_Contrast_GFP_3_00_256,0.14149252500190723
Cytoplasm_Texture_Contrast_GFP_3_01_256,-0.19998441380192541
Cytoplasm_Texture_Contrast_GFP_3_02_256,0.3459547021035641
