feature,coefficient_orig_model,coefficient_new_model
Cytoplasm_RadialDistribution_RadialCV_GFP_3of4,-0.15304320153688006,-0.10532938421851876
Nuclei_RadialDistribution_RadialCV_CY5_1of4,-0.017906742192996372,0.004886359684747166
Nuclei_Correlation_Overlap_CY5_DAPI,0.15633705892081354,0.24855792905322502
Nuclei_RadialDistribution_RadialCV_CY5_4of4,-0.13386601786981772,-0.1727647702835723
Nuclei_Texture_Correlation_CY5_3_03_256,0.11139332066614467,0.1964093352483141
Nuclei_RadialDistribution_ZernikePhase_GFP_3_1,0.028047688033407982,-0.004589533198135825
Cytoplasm_AreaShape_Zernike_6_0,-0.0705039718596857,0.029483445568504327
Nuclei_Intensity_MADIntensity_RFP,0.22628127203211684,0.2993664189435368
Nuclei_Texture_Correlation_DAPI_3_00_256,-0.15719902923718776,-0.11477354439287014
Nuclei_RadialDistribution_MeanFrac_DAPI_3of4,-0.30048808972805513,0.08021825791815476
Nuclei_RadialDistribution_FracAtD_CY5_2of4,2.283346065365666,0.15339323324378606
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_7_5,0.04785651530630867,-0.02042105491081562
Nuclei_RadialDistribution_ZernikePhase_CY5_9_9,-0.001341308435962453,-0.010370154195030377
Nuclei_RadialDistribution_ZernikePhase_RFP_5_3,-0.044009740717975206,-0.024914517228003676
Nuclei_Texture_Correlation_RFP_3_02_256,0.05789742985778811,-0.05680730516937276
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_9_9,-0.05843079568481977,-0.08821830490491192
Cells_RadialDistribution_ZernikePhase_RFP_9_3,0.001058639918433185,0.014357923850193618
Cytoplasm_AreaShape_FormFactor,-1.238244279451067,-0.6727047629815739
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_5_3,0.1578374143681374,0.15099776972105736
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_9_7,0.11795325876031387,0.0512198872185415
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_4_2,-0.18551351402851105,-0.12608735122793466
Cytoplasm_AreaShape_Zernike_7_1,0.025177249336959667,-0.017261737409882953
Nuclei_Texture_InverseDifferenceMoment_RFP_3_01_256,-0.28358910757433703,-0.041852758536125176
